Status,Endereço,Bairro_Cidade,Quartos,Area,Garagem,Construtora,Bairro_Cidade ,Bairro,Valor_m2,Num_Dorms,Num_Dorms_Suites,Entrega,Dados,Título,Metragem,Vagas
Pronto para morar,,,6 Dorm(s),550 m²,,MBigucci,Guarujá,Jardim Acapulco,,,,,,,,
Pronto para morar,,,7 Dorm(s),628 m²,,MBigucci,Guarujá,Jd. Acapulco,,,,,,,,
Pronto para morar,,,1 Dorm(s),42 a 50 m²,,MBigucci,São Bernardo do Campo,Jardim do Mar,,,,,,,,
Pronto para morar,,,Dorm(s),"964,45 m²",,MBigucci,São Bernardo do Campo,Nova Petrópolis,,,,,,,,
Pronto para morar,,,Dorm(s),38 a 414 m²,,MBigucci,São Bernardo do Campo,Jardim do Mar,,,,,,,,
Futuros Lançamentos,,,2 Dorm(s),38 a 40 m²,,MBigucci,São Paulo,Vila Prudente,,,,,,,,
Futuros Lançamentos,,,1 e 2 Dorm(s),Em Breve m²,,MBigucci,Guarujá,Enseada,,,,,,,,
Futuros Lançamentos,,,4 Dorm(s) / 4 suíte(s),150 a 200 m²,,MBigucci,São Bernardo do Campo,Jardim do Mar,,,,,,,,
Pronto,,,2 Dorm(s) / 2 suíte(s),64 m²,,MBigucci,São Paulo,Morumbi,,,,,,,,
Pronto,,,Dorm(s),32 a 102 m²,,MBigucci,São Bernardo do Campo,Largo de Rudge Ramos,,,,,,,,
Breve Lançamento,,,2 a 3 Dorm(s) / 1 a 2 suíte(s),66 a 82 m²,,MBigucci,São Paulo,Vila Carrão,,,,,,,,
Lançamento,,,,,,Patriani,Campinas - Parque Prado,,124 e 142,,None 3 suítes,em Dezembro / 26,124 e 142m² com depósito privativo3 suítes mais lavabo2 e 3 vagas determinadasEntrega em Dezembro / 26,,,
Em construção,,,,,,Patriani,Santo André - Jardim,,165,,None 3 suítes,em Dezembro / 26,165m² com depósito privativo3 suítes mais lavabo3 vagas determinadasEntrega em Dezembro / 26,,,
Lançamento,,,,,,Patriani,São Caetano - Em frente ao Jd. São Caetano,,132,,None 3 suítes,em Julho / 26,132m² com depósito privativo3 suítes mais lavabo2 vagas determinadasEntrega em Julho / 26,,,
Em construção,,,,,,Patriani,Campinas - Norte-Sul,,47 e 75,,None 1 suítes,em Junho / 26,47 e 75m² (duplex)1 suíte 1 vaga para carro elétricoEntrega em Junho / 26,,,
Breve Lançamento,,,,,,Patriani,São Paulo - Paraíso,,47,,None 1 suítes,em Abril / 27,"47m², 1 suíte com lavaboVaranda gourmet e depósito1 vaga elétrica e determinadaEntrega em Abril / 27",,,
Lançamento,,,,,,Patriani,São Paulo - Nova Klabin,,47,,None 1 suítes,em Março / 27,"47m², 1 suíte com lavaboVaranda gourmet e depósito1 vaga elétrica e determinadaEntrega em Março / 27",,,
Em construção,,,,,,Patriani,Sorocaba - Campolim,,47,,None 1 suítes,em Agosto / 24,47m²1 suíte com espaço para closet1 vaga determinada e destravadaEntrega em Agosto / 24,,,
Em construção,,,,,,Patriani,Atibaia - Alvinópolis,,85 e 89,,None 2 suítes,em Janeiro / 24,85 e 89m²2 suítes e lavabo2 vagas (uma vaga americana)Entrega em Janeiro / 24,,,
Em construção,,,,,,Patriani,Suzano - Centro Novo,,47 e 95,,None 2 suítes,em Junho / 25,47 e 95m²1 ou 2 suítes1 ou 2 vagas determinadasEntrega em Junho / 25,,,
Em construção,,,,,,Patriani,Campinas - Norte-Sul,,127,,None 3 suítes,em Abril / 26,"127m² com depósito privativo3 suítes2 vagas, sendo uma elétricaEntrega em Abril / 26",,,
